request-id,request-method,request-path,request-query,request-payload,response-status,response-content-type,response-payload,response-oops,pre-handle-timestamp,post-handle-timestamp,"after-completion-timestamp"
"3c0c958a-2dc0-48bf-ac69-dc2b168a66f8",GET,/,"debug=true&locale=en",,302,,,,814692082341500,814692201120000,814692207025000
"6e5bd93b-4b3f-4b41-9b20-ba15e3fbdb2d",GET,/any/system/welcome,,,200,text/html;charset=utf-8,service=183,,814692238194900,814692253970700,814697731525400
"abaa1b9a-4d28-4f7f-8b52-e5f05b3152a7",GET,"/libraries/fontawesome/5.2.0/css/all.min.css",,,200,text/css,,,814697903646800,814697915052100,814697917193800
"66308916-78b8-49cb-b0af-a724451c3dd3",GET,"/libraries/bootstrap/4.1.3/css/bootstrap.min.css",,,200,text/css,,,814697967351400,814697971692200,814697973144500
"ca0e58dc-34ac-4caf-98a2-36248a146290",GET,"/libraries/datatables/1.10.18/css/datatables.min.css",,,200,text/css,,,814697983629700,814697986853700,814697988145400
"b3b7d197-a255-4544-8fc2-a3760d07cc7f",GET,"/libraries/jquery/3.3.1/js/jquery.min.js",,,200,application/javascript,,,814697998243500,814698002088600,814698003938700
"d95eafd7-852e-4e36-a3e0-84a3b62620da",GET,"/libraries/popper.js/1.14.4/js/popper.min.js",,,200,application/javascript,,,814698014247300,814698019036400,814698021297600
"4ed78413-43aa-47fe-a4d3-3e5c0c94a2c4",GET,"/libraries/acme/css/acme.css",,,200,text/css,,,814698031778700,814698035544500,814698037317000
"3c0c02ee-b338-49d5-b664-5b5ab24d8d3e",GET,"/libraries/bootstrap/4.1.3/js/bootstrap.min.js",,,200,application/javascript,,,814698047187500,814698051084200,814698052164600
"1648cf0d-83a0-4d9d-bffd-76752fe1800a",GET,"/libraries/chart.js/2.7.2/js/chart.bundle.min.js",,,200,application/javascript,,,814698063689600,814698069245900,814698070881500
"a05ce069-bfce-4317-be35-196895bc7652",GET,"/libraries/areyousure/1.9.0/js/areyousure.min.js",,,200,application/javascript,,,814698080266200,814698084064700,814698085446800
"8934a50d-2dcf-4c62-bc39-cedb034d7167",GET,"/libraries/datatables/1.10.18/js/jquery.datatables.min.js",,,200,application/javascript,,,814698094271200,814698098798800,814698100317200
"825849c9-fe5a-4200-a517-7d8e81480b02",GET,"/libraries/datatables/1.10.18/js/datatables.min.js",,,200,application/javascript,,,814698111403000,814698115192400,814698116378000
"f230efa1-19dc-439a-b2e0-78d3048fcb8b",GET,"/libraries/acme/js/acme.js",,,200,application/javascript,,,814698129151900,814698132845300,814698134026300
"dd7189e6-6b23-42b9-873f-33e0583358d8",GET,/images/banner.png,,,200,image/png,,,814698142202000,814698146021900,814698148150400
"97dc0a17-b7fb-4f76-870e-767cc4fa604e",GET,/images/logo.png,,,200,image/png,,,814698181913300,814698185420800,814698186724400
"b93e2a39-d3e8-4092-b7ea-47f9a0c33d96",GET,"/libraries/fontawesome/5.2.0/webfonts/fa-solid-900.woff2",,,200,application/font-woff2,,,814698196499000,814698200302800,814698201371000
